"","Herring","Sprat","Cod","Haddock","Whiting","Blue whiting","Norway Pout","Poor Cod","European Hake","Monkfish","Horse Mackerel","Mackerel","Common Dab","Plaice","Megrim","Sole","Boarfish"
"Herring",1,0.81956044,0.615487568,0.577287435,0.696752137,0.48150894,0.655597458,0.551931829,0.536323356,0.559866373,0.52014652,0.605192308,0.831520147,0.659117827,0.410171687,0.434587912,0.394728028
"Sprat",0.81956044,1,0.580414308,0.584011267,0.677602141,0.473353954,0.62739233,0.562079053,0.541318361,0.562025752,0.529461457,0.568630024,0.800729548,0.605830281,0.416206678,0.408296703,0.397785868
"Cod",0.615487568,0.580414308,1,0.725516983,0.706300836,0.67800234,0.665780331,0.718030687,0.731498096,0.720894383,0.669365037,0.661454763,0.628219281,0.574508547,0.638055001,0.373879731,0.610842491
"Haddock",0.577287435,0.584011267,0.725516983,1,0.787528817,0.835453948,0.670039128,0.847925259,0.889055048,0.766947774,0.832858915,0.825167781,0.615922411,0.532716173,0.792498143,0.311129426,0.746586747
"Whiting",0.696752137,0.677602141,0.706300836,0.787528817,1,0.693526965,0.67841035,0.796342013,0.782241028,0.692926176,0.770449956,0.830831028,0.738053912,0.592018409,0.639279246,0.353967784,0.609030393
"Blue whiting",0.48150894,0.473353954,0.67800234,0.835453948,0.693526965,1,0.586652514,0.774183402,0.889985655,0.769076757,0.803821926,0.792853813,0.514053639,0.455509491,0.807695083,0.301440226,0.754430569
"Norway Pout",0.655597458,0.62739233,0.665780331,0.670039128,0.67841035,0.586652514,1,0.641620132,0.6355645,0.611914752,0.590288771,0.636364469,0.655752858,0.675534188,0.601286214,0.357728938,0.526454379
"Poor Cod",0.551931829,0.562079053,0.718030687,0.847925259,0.796342013,0.774183402,0.641620132,1,0.863995727,0.749473176,0.92938856,0.808458742,0.587504269,0.494791427,0.724942259,0.280362266,0.719057759
"European Hake",0.536323356,0.541318361,0.731498096,0.889055048,0.782241028,0.889985655,0.6355645,0.863995727,1,0.797492572,0.86287057,0.857314993,0.569286227,0.485906657,0.825561618,0.305360345,0.799853736
"Monkfish",0.559866373,0.562025752,0.720894383,0.766947774,0.692926176,0.769076757,0.611914752,0.749473176,0.797492572,1,0.722724925,0.72182132,0.583690626,0.520035243,0.699304862,0.337580475,0.684854312
"Horse Mackerel",0.52014652,0.529461457,0.669365037,0.832858915,0.770449956,0.803821926,0.590288771,0.92938856,0.86287057,0.722724925,1,0.832447894,0.549464104,0.450813183,0.7415118,0.272910957,0.73926725
"Mackerel",0.605192308,0.568630024,0.661454763,0.825167781,0.830831028,0.792853813,0.636364469,0.808458742,0.857314993,0.72182132,0.832447894,1,0.643643088,0.534146046,0.732421467,0.324285458,0.722982573
"Common Dab",0.831520147,0.800729548,0.628219281,0.615922411,0.738053912,0.514053639,0.655752858,0.587504269,0.569286227,0.583690626,0.549464104,0.643643088,1,0.630904096,0.448903789,0.408956044,0.432106355
"Plaice",0.659117827,0.605830281,0.574508547,0.532716173,0.592018409,0.455509491,0.675534188,0.494791427,0.485906657,0.520035243,0.450813183,0.534146046,0.630904096,1,0.424512987,0.420619658,0.34526307
"Megrim",0.410171687,0.416206678,0.638055001,0.792498143,0.639279246,0.807695083,0.601286214,0.724942259,0.825561618,0.699304862,0.7415118,0.732421467,0.448903789,0.424512987,1,0.241744089,0.810331613
"Sole",0.434587912,0.408296703,0.373879731,0.311129426,0.353967784,0.301440226,0.357728938,0.280362266,0.305360345,0.337580475,0.272910957,0.324285458,0.408956044,0.420619658,0.241744089,1,0.218336941
"Boarfish",0.394728028,0.397785868,0.610842491,0.746586747,0.609030393,0.754430569,0.526454379,0.719057759,0.799853736,0.684854312,0.73926725,0.722982573,0.432106355,0.34526307,0.810331613,0.218336941,1
